Provincia;Municipio;Código Unidad Poblacional;CUP;COD;Unidad Poblacional;field_6;Poblacion_Total;Poblacion
28 Madrid;"001 Acebeda, La";"101";"101";"10101";ACEBEDA (LA);NUC;"53";53
28 Madrid;"002 Ajalvir";"101";"101";"20101";AJALVIR;NUC;"4943";4943
28 Madrid;"003 Alameda del Valle";"101";"101";"30101";ALAMEDA DEL VALLE;NUC;"253";253
28 Madrid;"004 Álamo, El";"101";"101";"40101";ÁLAMO (EL);NUC;"10333";10333
28 Madrid;"005 Alcalá de Henares";"101";"101";"50101";ALCALÁ DE HENARES;NUC;"199590";199590
28 Madrid;"005 Alcalá de Henares";"501";"501";"50501";CENTRO DE INVESTIGACIÓN AGRARIA;NUC;"0";0
28 Madrid;"005 Alcalá de Henares";"1001";"1001";"51001";PRISIÓN ALCALÁ-MECO;NUC;"0";0
28 Madrid;"006 Alcobendas";"101";"101";"60101";ALCOBENDAS;NUC;"121330";121330
28 Madrid;"006 Alcobendas";"108";"108";"60108";SEMINARIO;NUC;"0";0
28 Madrid;"007 Alcorcón";"101";"101";"70101";ALCORCÓN;NUC;"170478";170478
28 Madrid;"007 Alcorcón";"201";"201";"70201";CAMPODÓN;NUC;"1017";1017
28 Madrid;"007 Alcorcón";"301";"301";"70301";VENTA LA RUBIA;NUC;"0";0
28 Madrid;"007 Alcorcón";"401";"401";"70401";VENTORRO DEL CANO;NUC;"180";180
28 Madrid;"007 Alcorcón";"601";"601";"70601";FUENTE CISNEROS;NUC;"2905";2905
28 Madrid;"007 Alcorcón";"701";"701";"70701";MONTEPRÍNCIPE;NUC;"125";125
28 Madrid;"008 Aldea del Fresno";"101";"101";"80101";ALDEA DEL FRESNO;NUC;"2587";2587
28 Madrid;"008 Aldea del Fresno";"102";"102";"80102";MONTEROS (LOS);NUC;"238";238
28 Madrid;"008 Aldea del Fresno";"301";"301";"80301";CARBAJO-PALOMEQUE;NUC;"30";30
28 Madrid;"008 Aldea del Fresno";"303";"303";"80303";RODRÍGUEZ (LOS);NUC;"32";32
28 Madrid;"008 Aldea del Fresno";"304";"304";"80304";MANGA DE LA PEDRERA;NUC;"19";19
28 Madrid;"008 Aldea del Fresno";"701";"701";"80701";CARAVAN GARDEN;NUC;"258";258
28 Madrid;"008 Aldea del Fresno";"702";"702";"80702";CARRETA QUEBRADA;NUC;"165";165
28 Madrid;"009 Algete";"101";"101";"90101";ALGETE;NUC;"15655";15655
28 Madrid;"009 Algete";"501";"501";"90501";NOGAL (EL);NUC;"2";2
28 Madrid;"009 Algete";"601";"601";"90601";PRADO NORTE;NUC;"2208";2208
28 Madrid;"009 Algete";"801";"801";"90801";SANTO DOMINGO;NUC;"3211";3211
28 Madrid;"009 Algete";"1101";"1101";"91101";DEHESA NUEVA;NUC;"10";10
28 Madrid;"010 Alpedrete";"101";"101";"100101";ALPEDRETE;NUC;"11950";11950
28 Madrid;"010 Alpedrete";"1701";"1701";"101701";VALDENCINA;NUC;"350";350
28 Madrid;"010 Alpedrete";"1801";"1801";"101801";NEGRALES-LOS LLANOS (LOS);NUC;"3355";3355
28 Madrid;"011 Ambite";"101";"101";"110101";AMBITE;NUC;"423";423
28 Madrid;"011 Ambite";"201";"201";"110201";SIERRA DE TAJUÑA;NUC;"270";270
28 Madrid;"012 Anchuelo";"101";"101";"120101";ANCHUELO;NUC;"1369";1369
28 Madrid;"012 Anchuelo";"201";"201";"120201";CERRO DE MIRALBUENO;NUC;"0";0
28 Madrid;"013 Aranjuez";"101";"101";"130101";ALGODOR;NUC;"21";21
28 Madrid;"013 Aranjuez";"201";"201";"130201";ARANJUEZ;NUC;"53662";53662
28 Madrid;"013 Aranjuez";"202";"202";"130202";ACADEMIA ESPECIAL DE LA GUARDIA CIVIL;NUC;"87";87
28 Madrid;"013 Aranjuez";"203";"203";"130203";TEJERAS (LAS);NUC;"20";20
28 Madrid;"013 Aranjuez";"401";"401";"130401";REAL CORTIJO DE SAN ISIDRO;NUC;"511";511
28 Madrid;"013 Aranjuez";"901";"901";"130901";MONTAÑA (LA);NUC;"7997";7997
28 Madrid;"014 Arganda del Rey";"101";"101";"140101";ARGANDA;NUC;"51109";51109
28 Madrid;"014 Arganda del Rey";"301";"301";"140301";AVÍCOLA DEL JARAMA;NUC;"113";113
28 Madrid;"014 Arganda del Rey";"302";"302";"140302";EMISORA DE ONDA CORTA;NUC;"0";0
28 Madrid;"014 Arganda del Rey";"303";"303";"140303";LAGO COTOS CISNEROS;NUC;"0";0
28 Madrid;"014 Arganda del Rey";"304";"304";"140304";PUENTE DE ARGANDA;NUC;"111";111
28 Madrid;"014 Arganda del Rey";"701";"701";"140701";VILLARES (LOS);NUC;"7643";7643
28 Madrid;"015 Arroyomolinos";"101";"101";"150101";ARROYOMOLINOS;NUC;"15689";15689
28 Madrid;"015 Arroyomolinos";"201";"201";"150201";CASTAÑERAS Y CIUDAD JARDÍN;NUC;"21303";21303
28 Madrid;"015 Arroyomolinos";"301";"301";"150301";RÍO GUADARRAMA;NUC;"284";284
28 Madrid;"015 Arroyomolinos";"302";"302";"150302";XANADÚ;NUC;"0";0
28 Madrid;"015 Arroyomolinos";"401";"401";"150401";VALDEFUENTES;NUC;"3";3
28 Madrid;"016 Atazar, El";"101";"101";"160101";ATAZAR (EL);NUC;"104";104
28 Madrid;"017 Batres";"101";"101";"170101";BATRES;NUC;"794";794
28 Madrid;"017 Batres";"301";"301";"170301";COTORREDONDO;NUC;"1072";1072
28 Madrid;"017 Batres";"401";"401";"170401";OLIVOS (LOS);NUC;"28";28
28 Madrid;"018 Becerril de la Sierra";"101";"101";"180101";BECERRIL DE LA SIERRA;NUC;"5832";5832
28 Madrid;"018 Becerril de la Sierra";"201";"201";"180201";BERROCAL (EL);NUC;"265";265
28 Madrid;"018 Becerril de la Sierra";"301";"301";"180301";CEBALES (LOS);NUC;"6";6
28 Madrid;"018 Becerril de la Sierra";"401";"401";"180401";MONTELLANO;NUC;"323";323
28 Madrid;"018 Becerril de la Sierra";"601";"601";"180601";VISTA REAL;NUC;"126";126
28 Madrid;"019 Belmonte de Tajo";"101";"101";"190101";BELMONTE DE TAJO;NUC;"1905";1905
28 Madrid;"020 Berzosa del Lozoya";"101";"101";"200101";BERZOSA DEL LOZOYA;NUC;"225";225
28 Madrid;"021 Berrueco, El";"101";"101";"210101";BERRUECO (EL);NUC;"662";662
28 Madrid;"021 Berrueco, El";"201";"201";"210201";PEÑÁGUILA;NUC;"28";28
28 Madrid;"021 Berrueco, El";"401";"401";"210401";PRADERA DEL AMOR;NUC;"101";101
28 Madrid;"022 Boadilla del Monte";"101";"101";"220101";BOADILLA DEL MONTE;NUC;"44123";44123
28 Madrid;"022 Boadilla del Monte";"1101";"1101";"221101";PRADO DEL ESPINO;NUC;"0";0
28 Madrid;"022 Boadilla del Monte";"1601";"1601";"221601";URBANIZACIONES ESTE;NUC;"2018";2018
28 Madrid;"022 Boadilla del Monte";"1701";"1701";"221701";URBANIZACIONES NOROESTE;NUC;"19337";19337
28 Madrid;"023 Boalo, El";"101";"101";"230101";BOALO (EL);NUC;"2497";2497
28 Madrid;"023 Boalo, El";"201";"201";"230201";CERCEDA;NUC;"3536";3536
28 Madrid;"023 Boalo, El";"301";"301";"230301";MATAELPINO;NUC;"2017";2017
28 Madrid;"023 Boalo, El";"501";"501";"230501";PEÑA DE LAS GALLINAS;NUC;"308";308
28 Madrid;"023 Boalo, El";"601";"601";"230601";PONDEROSA I (LA);NUC;"46";46
28 Madrid;"023 Boalo, El";"701";"701";"230701";PONDEROSA II (LA);NUC;"1";1
28 Madrid;"023 Boalo, El";"1101";"1101";"231101";SAN MURIEL;NUC;"82";82
28 Madrid;"024 Braojos";"101";"101";"240101";BRAOJOS;NUC;"218";218
28 Madrid;"025 Brea de Tajo";"101";"101";"250101";BREA DE TAJO;NUC;"434";434
28 Madrid;"025 Brea de Tajo";"201";"201";"250201";ALAMEDA Y EL QUEJIGAL (LA);NUC;"92";92
28 Madrid;"026 Brunete";"101";"101";"260101";BRUNETE;NUC;"9783";9783
28 Madrid;"026 Brunete";"201";"201";"260201";DEHESA (LA);NUC;"84";84
28 Madrid;"026 Brunete";"301";"301";"260301";VALLE DE LOS ROSALES (EL);NUC;"991";991
28 Madrid;"027 Buitrago del Lozoya";"101";"101";"270101";BUITRAGO DEL LOZOYA;NUC;"1963";1963
28 Madrid;"028 Bustarviejo";"101";"101";"280101";BUSTARVIEJO;NUC;"2338";2338
28 Madrid;"028 Bustarviejo";"201";"201";"280201";CABEZA RASA;NUC;"0";0
28 Madrid;"028 Bustarviejo";"701";"701";"280701";MANANTIAL (EL);NUC;"9";9
28 Madrid;"028 Bustarviejo";"901";"901";"280901";PEDREGAL (EL);NUC;"253";253
28 Madrid;"028 Bustarviejo";"1301";"1301";"281301";CUESTA EUSEBIA;NUC;"55";55
28 Madrid;"028 Bustarviejo";"1302";"1302";"281302";PESQUERA (LA);NUC;"36";36
28 Madrid;"029 Cabanillas de la Sierra";"101";"101";"290101";CABANILLAS DE LA SIERRA;NUC;"888";888
28 Madrid;"029 Cabanillas de la Sierra";"201";"201";"290201";D'OREMOR;NUC;"0";0
28 Madrid;"029 Cabanillas de la Sierra";"301";"301";"290301";LAGUNAZOS (LOS);NUC;"7";7
28 Madrid;"030 Cabrera, La";"101";"101";"300101";CABRERA (LA);NUC;"2870";2870
28 Madrid;"030 Cabrera, La";"201";"201";"300201";ASPERILLA (LA);NUC;"12";12
28 Madrid;"030 Cabrera, La";"301";"301";"300301";CABRERITA Y EL ROBLE (LA);NUC;"25";25
28 Madrid;"030 Cabrera, La";"701";"701";"300701";RABUSERA (LA);NUC;"19";19
28 Madrid;"031 Cadalso de los Vidrios";"101";"101";"310101";CADALSO DE LOS VIDRIOS;NUC;"2875";2875
28 Madrid;"031 Cadalso de los Vidrios";"501";"501";"310501";ENTREPINOS;NUC;"295";295
28 Madrid;"032 Camarma de Esteruelas";"101";"101";"320101";CAMARMA DE ESTERUELAS;NUC;"7132";7132
28 Madrid;"032 Camarma de Esteruelas";"301";"301";"320301";ALCAMAR;NUC;"420";420
28 Madrid;"032 Camarma de Esteruelas";"401";"401";"320401";PRACTICANTE (EL);NUC;"542";542
28 Madrid;"033 Campo Real";"101";"101";"330101";CAMPO REAL;NUC;"6187";6187
28 Madrid;"033 Campo Real";"201";"201";"330201";MONTEHERMOSO;NUC;"529";529
28 Madrid;"033 Campo Real";"301";"301";"330301";POLÍGONO BORONDO;NUC;"0";0
28 Madrid;"034 Canencia";"101";"101";"340101";CANENCIA;NUC;"440";440
28 Madrid;"035 Carabaña";"101";"101";"350101";CARABAÑA;NUC;"2300";2300
28 Madrid;"036 Casarrubuelos";"101";"101";"360101";CASARRUBUELOS;NUC;"4211";4211
28 Madrid;"037 Cenicientos";"102";"102";"370102";CENICIENTOS;NUC;"2076";2076
28 Madrid;"037 Cenicientos";"201";"201";"370201";ALMENDROS (LOS);NUC;"6";6
28 Madrid;"038 Cercedilla";"101";"101";"380101";CAMORRITOS;NUC;"87";87
28 Madrid;"038 Cercedilla";"201";"201";"380201";CERCEDILLA;NUC;"7196";7196
28 Madrid;"038 Cercedilla";"301";"301";"380301";PUERTO DE NAVACERRADA;NUC;"113";113
28 Madrid;"038 Cercedilla";"302";"302";"380302";VENTORRILLO (EL);NUC;"0";0
28 Madrid;"038 Cercedilla";"601";"601";"380601";DEHESAS (LAS);NUC;"56";56
28 Madrid;"038 Cercedilla";"602";"602";"380602";FUENFRÍA (LA);NUC;"11";11
28 Madrid;"038 Cercedilla";"603";"603";"380603";VALLE DE FUENFRIA;NUC;"159";159
28 Madrid;"039 Cervera de Buitrago";"101";"101";"390101";CERVERA DE BUITRAGO;NUC;"146";146
28 Madrid;"040 Ciempozuelos";"101";"101";"400101";CIEMPOZUELOS;NUC;"26037";26037
28 Madrid;"041 Cobeña";"101";"101";"410101";COBEÑA;NUC;"7723";7723
28 Madrid;"041 Cobeña";"201";"201";"410201";CAMPO NUEVO;NUC;"4";4
28 Madrid;"042 Colmenar del Arroyo";"101";"101";"420101";COLMENAR DEL ARROYO;NUC;"1644";1644
28 Madrid;"042 Colmenar del Arroyo";"201";"201";"420201";VALLE DEL SOL;NUC;"307";307
28 Madrid;"043 Colmenar de Oreja";"201";"201";"430201";COLMENAR DE OREJA;NUC;"5587";5587
28 Madrid;"043 Colmenar de Oreja";"301";"301";"430301";MIRALCAMPO;NUC;"0";0
28 Madrid;"043 Colmenar de Oreja";"401";"401";"430401";BALCÓN DE TAJO-URTAJO;NUC;"2389";2389
28 Madrid;"043 Colmenar de Oreja";"1401";"1401";"431401";VALLE DE SAN JUAN-LOS VALLEJOS;NUC;"876";876
28 Madrid;"044 Colmenarejo";"101";"101";"440101";COLMENAREJO;NUC;"9648";9648
28 Madrid;"045 Colmenar Viejo";"101";"101";"450101";COLMENAR VIEJO;NUC;"55428";55428
28 Madrid;"045 Colmenar Viejo";"301";"301";"450301";CHORTALES (LOS);NUC;"29";29
28 Madrid;"045 Colmenar Viejo";"401";"401";"450401";FAMET;NUC;"91";91
28 Madrid;"045 Colmenar Viejo";"501";"501";"450501";NAVARROSILLOS-POLÍGONO SUR;NUC;"10";10
28 Madrid;"045 Colmenar Viejo";"601";"601";"450601";CIUDALCAMPO;NUC;"786";786
28 Madrid;"045 Colmenar Viejo";"602";"602";"450602";PUEBLAS (LAS);NUC;"9";9
28 Madrid;"045 Colmenar Viejo";"605";"605";"450605";VALDELAGUA-PUNTA GALEA;NUC;"182";182
28 Madrid;"045 Colmenar Viejo";"701";"701";"450701";SAN PEDRO;NUC;"111";111
28 Madrid;"046 Collado Mediano";"101";"101";"460101";COLLADO MEDIANO;NUC;"6390";6390
28 Madrid;"046 Collado Mediano";"201";"201";"460201";BARRIZALES (LOS);NUC;"45";45
28 Madrid;"046 Collado Mediano";"601";"601";"460601";REAJO DEL ROBLE;NUC;"198";198
28 Madrid;"046 Collado Mediano";"701";"701";"460701";SERRANÍA DE LA PALOMA;NUC;"894";894
28 Madrid;"047 Collado Villalba";"101";"101";"470101";COLLADO VILLALBA;NUC;"18105";18105
28 Madrid;"047 Collado Villalba";"501";"501";"470501";ESTACIÓN (LA);NUC;"45736";45736
28 Madrid;"047 Collado Villalba";"1001";"1001";"471001";CERCA DE CASCARRILLA;NUC;"16";16
28 Madrid;"047 Collado Villalba";"1101";"1101";"471101";DOMINIO DE FONTENEBRO;NUC;"3466";3466
28 Madrid;"048 Corpa";"101";"101";"480101";CORPA;NUC;"794";794
28 Madrid;"049 Coslada";"101";"101";"490101";COSLADA;NUC;"80688";80688
28 Madrid;"050 Cubas de la Sagra";"101";"101";"500101";CUBAS;NUC;"4042";4042
28 Madrid;"050 Cubas de la Sagra";"201";"201";"500201";NUBE (LA);NUC;"15";15
28 Madrid;"050 Cubas de la Sagra";"301";"301";"500301";PINAR (EL);NUC;"118";118
28 Madrid;"050 Cubas de la Sagra";"401";"401";"500401";SOTO (EL);NUC;"2638";2638
28 Madrid;"050 Cubas de la Sagra";"501";"501";"500501";ARROYADAS (LAS);NUC;"1";1
28 Madrid;"050 Cubas de la Sagra";"801";"801";"500801";SALMUEROS (LOS);NUC;"9";9
28 Madrid;"051 Chapinería";"101";"101";"510101";CHAPINERÍA;NUC;"2456";2456
28 Madrid;"051 Chapinería";"201";"201";"510201";VALQUIGOSO;NUC;"159";159
28 Madrid;"052 Chinchón";"101";"101";"520101";CHINCHÓN;NUC;"4460";4460
28 Madrid;"052 Chinchón";"201";"201";"520201";NUEVO CHINCHÓN;NUC;"496";496
28 Madrid;"052 Chinchón";"301";"301";"520301";COHONARES (LOS);NUC;"101";101
28 Madrid;"052 Chinchón";"401";"401";"520401";CUBILLAS (LAS);NUC;"5";5
28 Madrid;"052 Chinchón";"601";"601";"520601";VALGRANDE;NUC;"57";57
28 Madrid;"052 Chinchón";"901";"901";"520901";VALBOSQUE;NUC;"24";24
28 Madrid;"052 Chinchón";"1101";"1101";"521101";VALROMEROSO;NUC;"8";8
28 Madrid;"053 Daganzo de Arriba";"101";"101";"530101";DAGANZO DE ARRIBA;NUC;"10673";10673
28 Madrid;"053 Daganzo de Arriba";"201";"201";"530201";ASOCIACIÓN DEPORTIVO CULTURAL DAGANZO;NUC;"0";0
28 Madrid;"053 Daganzo de Arriba";"301";"301";"530301";FRAILES (LOS);NUC;"0";0
28 Madrid;"054 Escorial, El";"101";"101";"540101";ALCOR (EL);NUC;"321";321
28 Madrid;"054 Escorial, El";"201";"201";"540201";CAMPILLO (EL);NUC;"0";0
28 Madrid;"054 Escorial, El";"401";"401";"540401";ESCORIAL (EL);NUC;"9200";9200
28 Madrid;"054 Escorial, El";"402";"402";"540402";SOTO MORA;NUC;"1167";1167
28 Madrid;"054 Escorial, El";"601";"601";"540601";NAVALQUEJIGO;NUC;"5916";5916
28 Madrid;"054 Escorial, El";"701";"701";"540701";PERALEJO;NUC;"185";185
28 Madrid;"054 Escorial, El";"801";"801";"540801";PINOSOL;NUC;"447";447
28 Madrid;"055 Estremera";"201";"201";"550201";CUATRO CAMINOS;NUC;"26";26
28 Madrid;"055 Estremera";"202";"202";"550202";ESTREMERA;NUC;"1113";1113
28 Madrid;"055 Estremera";"401";"401";"550401";PEÑA RUBIA;NUC;"162";162
28 Madrid;"055 Estremera";"402";"402";"550402";CERRO DEL AIRE;NUC;"62";62
28 Madrid;"055 Estremera";"403";"403";"550403";VEGA DE LOS FRAILES;NUC;"17";17
28 Madrid;"055 Estremera";"404";"404";"550404";VILLARES (LOS);NUC;"0";0
28 Madrid;"056 Fresnedillas de la Oliva";"101";"101";"560101";FRESNEDILLAS DE LA OLIVA;NUC;"1764";1764
28 Madrid;"057 Fresno de Torote";"102";"102";"570102";FRESNO DE TOROTE;NUC;"2";2
28 Madrid;"057 Fresno de Torote";"201";"201";"570201";SERRACINES;NUC;"1787";1787
28 Madrid;"057 Fresno de Torote";"202";"202";"570202";VALLE DEL RÍO;NUC;"12";12
28 Madrid;"057 Fresno de Torote";"301";"301";"570301";JARDÍN DE SERRACINES;NUC;"746";746
28 Madrid;"058 Fuenlabrada";"101";"101";"580101";CORDEL DE LA CARRERA;NUC;"0";0
28 Madrid;"058 Fuenlabrada";"102";"102";"580102";FUENLABRADA;NUC;"162782";162782
28 Madrid;"058 Fuenlabrada";"501";"501";"580501";LORANCA;NUC;"25546";25546
28 Madrid;"058 Fuenlabrada";"502";"502";"580502";CALLFERSA;NUC;"0";0
28 Madrid;"058 Fuenlabrada";"503";"503";"580503";MIRAFLORES;NUC;"2165";2165
28 Madrid;"059 Fuente el Saz de Jarama";"101";"101";"590101";FUENTE EL SAZ DE JARAMA;NUC;"6594";6594
28 Madrid;"060 Fuentidueña de Tajo";"101";"101";"600101";FUENTIDUEÑA DE TAJO;NUC;"1929";1929
28 Madrid;"060 Fuentidueña de Tajo";"201";"201";"600201";ALARILLA;NUC;"354";354
28 Madrid;"061 Galapagar";"101";"101";"610101";BELLAVISTA;NUC;"172";172
28 Madrid;"061 Galapagar";"401";"401";"610401";CUESTAS (LAS);NUC;"372";372
28 Madrid;"061 Galapagar";"501";"501";"610501";ENCINAR-SAN ALBERTO-VISTA NEVADA;NUC;"755";755
28 Madrid;"061 Galapagar";"601";"601";"610601";ESPAÑA;NUC;"1233";1233
