Provincia;Municipio;Código Unidad Poblacional;CODIGO;Unidad Poblacional;field_6;Poblacion_Total
28 Madrid;096 Navalcarnero;101;0960101;CALYPO II;NUC;272
28 Madrid;172 Villalbilla;201;1720201;GURUGÚ (EL);NUC;276
28 Madrid;015 Arroyomolinos;301;0150301;RÍO GUADARRAMA;NUC;284
28 Madrid;121 Redueña;101;1210101;REDUEÑA;NUC;289
28 Madrid;031 Cadalso de los Vidrios;501;0310501;ENTREPINOS;NUC;295
28 Madrid;061 Galapagar;1601;0611601;RONCESVALLES;NUC;297
28 Madrid;062 Garganta de los Montes;301;0620301;GARGANTA DE LOS MONTES;NUC;303
28 Madrid;100 Nuevo Baztán;401;1000401;NUEVO BAZTÁN;NUC;306
28 Madrid;042 Colmenar del Arroyo;201;0420201;VALLE DEL SOL;NUC;307
28 Madrid;023 Boalo, El;501;0230501;PEÑA DE LAS GALLINAS;NUC;308
28 Madrid;141 Sevilla la Nueva;403;1410403;MANANTIALES II (LOS);NUC;309
28 Madrid;089 Moraleja de Enmedio;101;0890101;COLINAS (LAS);NUC;313
28 Madrid;054 Escorial, El;101;0540101;ALCOR (EL);NUC;321
28 Madrid;099 Navas del Rey;101;0990101;MORRO (EL);NUC;322
28 Madrid;018 Becerril de la Sierra;401;0180401;MONTELLANO;NUC;323
28 Madrid;158 Valdemanco;201;1580201;CERRO MATALLERA;NUC;329
28 Madrid;085 Miraflores de la Sierra;301;0850301;PINAREJOS (LOS);NUC;333
28 Madrid;104 Paracuellos de Jarama;101;1040101;BELVIS DE JARAMA;NUC;333
28 Madrid;153 Torremocha de Jarama;501;1530501;RETIRO DE TORREMOCHA (EL);NUC;341
28 Madrid;132 San Martín de la Vega;1001;1321001;VALLEQUILLAS NORTE;NUC;343
28 Madrid;010 Alpedrete;1701;0101701;VALDENCINA;NUC;350
28 Madrid;060 Fuentidueña de Tajo;201;0600201;ALARILLA;NUC;354
28 Madrid;152 Torrelodones;601;1520601;GASCO (EL);NUC;355
28 Madrid;061 Galapagar;401;0610401;CUESTAS (LAS);NUC;372
28 Madrid;088 Montejo de la Sierra;101;0880101;MONTEJO DE LA SIERRA;NUC;374
28 Madrid;101 Olmeda de las Fuentes;101;1010101;OLMEDA DE LAS FUENTES;NUC;404
28 Madrid;134 San Sebastián de los Reyes;801;1340801;GRANJILLA (LA);NUC;407
28 Madrid;032 Camarma de Esteruelas;301;0320301;ALCAMAR;NUC;420
28 Madrid;128 Rozas de Puerto Real;201;1280201;ROZAS DE PUERTO REAL;NUC;422
28 Madrid;011 Ambite;101;0110101;AMBITE;NUC;423
28 Madrid;156 Valdeavero;201;1560201;CARDOSA (LA);NUC;432
28 Madrid;902 Puentes Viejas;401;9020401;MANJIRÓN;NUC;433
28 Madrid;025 Brea de Tajo;101;0250101;BREA DE TAJO;NUC;434
28 Madrid;100 Nuevo Baztán;301;1000301;MONTE ACEVEDO;NUC;436
28 Madrid;141 Sevilla la Nueva;101;1410101;CORTIJOS (LOS);NUC;439
28 Madrid;034 Canencia;101;0340101;CANENCIA;NUC;440
28 Madrid;054 Escorial, El;801;0540801;PINOSOL;NUC;447
28 Madrid;061 Galapagar;1701;0611701;POCILLO (EL);NUC;466
28 Madrid;160 Valdemorillo;601;1600601;PARAÍSO (EL);NUC;475
28 Madrid;052 Chinchón;201;0520201;NUEVO CHINCHÓN;NUC;496
28 Madrid;129 San Agustín del Guadalix;901;1290901;VALDELAGUA;NUC;509
28 Madrid;013 Aranjuez;401;0130401;REAL CORTIJO DE SAN ISIDRO;NUC;511
28 Madrid;072 Hoyo de Manzanares;501;0720501;PARQUE DE LAS COLINAS;NUC;512
28 Madrid;160 Valdemorillo;801;1600801;PINO ALTO;NUC;521
28 Madrid;163 Valdepiélagos;101;1630101;VALDEPIÉLAGOS;NUC;527
28 Madrid;033 Campo Real;201;0330201;MONTEHERMOSO;NUC;529
28 Madrid;075 Loeches;901;0750901;PRADO CONCEJIL;NUC;530
28 Madrid;152 Torrelodones;201;1520201;BERZOSILLA (LA);NUC;537
28 Madrid;032 Camarma de Esteruelas;401;0320401;PRACTICANTE (EL);NUC;542
28 Madrid;166 Valverde de Alcalá;101;1660101;VALVERDE DE ALCALÁ;NUC;550
28 Madrid;107 Patones;301;1070301;PATONES DE ABAJO;NUC;558
28 Madrid;082 Manzanares el Real;201;0820201;PONDEROSA DE LA SIERRA (LA);NUC;576
28 Madrid;076 Lozoya;101;0760101;LOZOYA;NUC;600
28 Madrid;155 Valdaracete;101;1550101;VALDARACETE;NUC;613
28 Madrid;092 Móstoles;701;0920701;NIEVES-EL LUCERO (LAS);NUC;622
28 Madrid;122 Ribatejada;101;1220101;RIBATEJADA;NUC;647
28 Madrid;021 Berrueco, El;101;0210101;BERRUECO (EL);NUC;662
28 Madrid;183 Zarzalejo;301;1830301;ZARZALEJO;NUC;665
28 Madrid;179 Villar del Olmo;201;1790201;VILLAR DEL OLMO;NUC;667
28 Madrid;153 Torremocha de Jarama;201;1530201;TORREMOCHA DE JARAMA;NUC;673
28 Madrid;158 Valdemanco;101;1580101;VALDEMANCO;NUC;676
28 Madrid;068 Guadarrama;705;0680705;VALLEFRESNOS-EL PEÑÓN;NUC;677
28 Madrid;090 Moralzarzal;701;0900701;BERROCAL (EL)-RETAMAR (EL);NUC;737
28 Madrid;127 Rozas de Madrid, Las;101;1270101;CHOPERA (LA);NUC;739
28 Madrid;111 Pezuela de las Torres;101;1110101;PEZUELA DE LAS TORRES;NUC;743
28 Madrid;057 Fresno de Torote;301;0570301;JARDÍN DE SERRACINES;NUC;746
28 Madrid;061 Galapagar;501;0610501;ENCINAR-SAN ALBERTO-VISTA NEVADA;NUC;755
28 Madrid;169 Venturada;101;1690101;VENTURADA;NUC;771
28 Madrid;148 Torrejón de Ardoz;401;1480401;CASTILLO (EL);NUC;779
28 Madrid;141 Sevilla la Nueva;402;1410402;MANANTIALES I (LOS);NUC;780
28 Madrid;045 Colmenar Viejo;601;0450601;CIUDALCAMPO;NUC;786
28 Madrid;017 Batres;101;0170101;BATRES;NUC;794
28 Madrid;048 Corpa;101;0480101;CORPA;NUC;794
28 Madrid;173 Villamanrique de Tajo;301;1730301;VILLAMANRIQUE DE TAJO;NUC;805
28 Madrid;159 Valdemaqueda;101;1590101;VALDEMAQUEDA;NUC;813
28 Madrid;164 Valdetorres de Jarama;101;1640101;SILILLOS;NUC;821
28 Madrid;135 Santa María de la Alameda;101;1350101;ESTACIÓN (LA);NUC;829
28 Madrid;162 Valdeolmos-Alalpardo;301;1620301;MIRAVAL;NUC;851
28 Madrid;104 Paracuellos de Jarama;401;1040401;BERROCALES DEL JARAMA (LOS);NUC;866
28 Madrid;043 Colmenar de Oreja;1401;0431401;VALLE DE SAN JUAN-LOS VALLEJOS;NUC;876
28 Madrid;108 Pedrezuela;201;1080201;MONTENEBRO;NUC;887
28 Madrid;029 Cabanillas de la Sierra;101;0290101;CABANILLAS DE LA SIERRA;NUC;888
28 Madrid;046 Collado Mediano;701;0460701;SERRANÍA DE LA PALOMA;NUC;894
28 Madrid;144 Soto del Real;201;1440201;RANCAJALES (LOS);NUC;939
28 Madrid;136 Santorcaz;201;1360201;SANTORCAZ;NUC;949
28 Madrid;065 Getafe;403;0650403;CASERÍO DE PERALES;NUC;970
28 Madrid;026 Brunete;301;0260301;VALLE DE LOS ROSALES (EL);NUC;991
28 Madrid;007 Alcorcón;201;0070201;CAMPODÓN;NUC;1017
28 Madrid;061 Galapagar;701;0610701;FUENTE LA TEJA;NUC;1042
28 Madrid;157 Valdelaguna;101;1570101;VALDELAGUNA;NUC;1065
28 Madrid;017 Batres;301;0170301;COTORREDONDO;NUC;1072
28 Madrid;901 Lozoyuela-Navas-Sieteiglesias;402;9010402;LOZOYUELA;NUC;1075
28 Madrid;183 Zarzalejo;101;1830101;ESTACIÓN Y PAJARES (LA);NUC;1108
28 Madrid;055 Estremera;202;0550202;ESTREMERA;NUC;1113
28 Madrid;171 Villa del Prado;301;1710301;ENCINAR DEL ALBERCHE;NUC;1151
28 Madrid;162 Valdeolmos-Alalpardo;201;1620201;VALDEOLMOS;NUC;1155
28 Madrid;054 Escorial, El;402;0540402;SOTO MORA;NUC;1167
28 Madrid;160 Valdemorillo;501;1600501;DEHESA;NUC;1212
28 Madrid;061 Galapagar;601;0610601;ESPAÑA;NUC;1233
28 Madrid;152 Torrelodones;1501;1521501;BOMBEROS (LOS);NUC;1261
28 Madrid;116 Pozuelo del Rey;101;1160101;POZUELO DEL REY;NUC;1298
28 Madrid;176 Villanueva de la Cañada;603;1760603;RAYA DEL PALANCAR-GUADAMONTE (LA);NUC;1316
28 Madrid;147 Titulcia;101;1470101;TITULCIA;NUC;1351
28 Madrid;012 Anchuelo;101;0120101;ANCHUELO;NUC;1369
28 Madrid;156 Valdeavero;101;1560101;VALDEAVERO;NUC;1377
28 Madrid;102 Orusco de Tajuña;101;1020101;ORUSCO;NUC;1426
28 Madrid;092 Móstoles;401;0920401;PARQUE GUADARRAMA;NUC;1495
28 Madrid;120 Rascafría;204;1200204;RASCAFRÍA;NUC;1495
28 Madrid;177 Villanueva del Pardillo;401;1770401;VEGAS - SANTA MARIA (LAS);NUC;1498
28 Madrid;152 Torrelodones;1201;1521201;ROBLES (LOS);NUC;1525
28 Madrid;094 Navalafuente;101;0940101;NAVALAFUENTE;NUC;1576
28 Madrid;175 Villamantilla;101;1750101;VILLAMANTILLA;NUC;1584
28 Madrid;179 Villar del Olmo;101;1790101;EUROVILLAS;NUC;1604
28 Madrid;172 Villalbilla;801;1720801;VALDELÁGUILA-EL ROBLEDAL;NUC;1626
28 Madrid;178 Villanueva de Perales;101;1780101;VILLANUEVA DE PERALES;NUC;1642
28 Madrid;042 Colmenar del Arroyo;101;0420101;COLMENAR DEL ARROYO;NUC;1644
28 Madrid;115 Pozuelo de Alarcón;101;1150101;ÁNGELES (LOS);NUC;1728
28 Madrid;172 Villalbilla;1001;1721001;MIRADOR (EL);NUC;1754
28 Madrid;056 Fresnedillas de la Oliva;101;0560101;FRESNEDILLAS DE LA OLIVA;NUC;1764
28 Madrid;123 Rivas-Vaciamadrid;1001;1231001;CAÑADA REAL DE LA GALIANA;NUC;1769
28 Madrid;168 Vellón, El;201;1680201;VELLÓN (EL);NUC;1776
28 Madrid;169 Venturada;201;1690201;COTOS DE MONTERREY;NUC;1779
28 Madrid;057 Fresno de Torote;201;0570201;SERRACINES;NUC;1787
28 Madrid;019 Belmonte de Tajo;101;0190101;BELMONTE DE TAJO;NUC;1905
28 Madrid;131 San Lorenzo de El Escorial;1001;1311001;PIZARRA (LA);NUC;1916
28 Madrid;060 Fuentidueña de Tajo;101;0600101;FUENTIDUEÑA DE TAJO;NUC;1929
28 Madrid;027 Buitrago del Lozoya;101;0270101;BUITRAGO DEL LOZOYA;NUC;1963
28 Madrid;023 Boalo, El;301;0230301;MATAELPINO;NUC;2017
28 Madrid;061 Galapagar;901;0610901;GUIJO (EL);NUC;2017
28 Madrid;022 Boadilla del Monte;1601;0221601;URBANIZACIONES ESTE;NUC;2018
28 Madrid;037 Cenicientos;102;0370102;CENICIENTOS;NUC;2076
28 Madrid;068 Guadarrama;101;0680101;CABEZUELAS (LAS);NUC;2117
28 Madrid;058 Fuenlabrada;503;0580503;MIRAFLORES;NUC;2165
28 Madrid;061 Galapagar;2001;0612001;PARQUELAGOS;NUC;2203
28 Madrid;009 Algete;601;0090601;PRADO NORTE;NUC;2208
28 Madrid;172 Villalbilla;301;1720301;HUEROS (LOS);NUC;2238
28 Madrid;104 Paracuellos de Jarama;501;1040501;GRANJA / EL CRUCE (LA);NUC;2248
28 Madrid;035 Carabaña;101;0350101;CARABAÑA;NUC;2300
28 Madrid;028 Bustarviejo;101;0280101;BUSTARVIEJO;NUC;2338
28 Madrid;043 Colmenar de Oreja;401;0430401;BALCÓN DE TAJO-URTAJO;NUC;2389
28 Madrid;172 Villalbilla;601;1720601;VILLALBILLA;NUC;2406
28 Madrid;051 Chapinería;101;0510101;CHAPINERÍA;NUC;2456
28 Madrid;162 Valdeolmos-Alalpardo;101;1620101;ALALPARDO;NUC;2465
28 Madrid;903 Tres Cantos;102;9030102;SOTO DE VIÑUELAS;NUC;2473
28 Madrid;023 Boalo, El;101;0230101;BOALO (EL);NUC;2497
28 Madrid;152 Torrelodones;1601;1521601;PRADOS (LOS);NUC;2503
28 Madrid;160 Valdemorillo;301;1600301;NAVARREDONDA;NUC;2518
28 Madrid;008 Aldea del Fresno;101;0080101;ALDEA DEL FRESNO;NUC;2587
28 Madrid;174 Villamanta;101;1740101;VILLAMANTA;NUC;2593
28 Madrid;072 Hoyo de Manzanares;201;0720201;BERZOSA;NUC;2613
28 Madrid;134 San Sebastián de los Reyes;201;1340201;FUENTE DEL FRESNO;NUC;2614
28 Madrid;050 Cubas de la Sagra;401;0500401;SOTO (EL);NUC;2638
28 Madrid;134 San Sebastián de los Reyes;101;1340101;CIUDALCAMPO;NUC;2660
28 Madrid;172 Villalbilla;501;1720501;ZULEMA-PEÑAS ALBAS;NUC;2716
28 Madrid;095 Navalagamella;102;0950102;NAVALAGAMELLA;NUC;2784
28 Madrid;146 Tielmes;101;1460101;TIELMES;NUC;2789
28 Madrid;137 Santos de la Humosa, Los;101;1370101;SANTOS DE LA HUMOSA (LOS);NUC;2793
28 Madrid;110 Perales de Tajuña;101;1100101;PERALES DE TAJUÑA;NUC;2806
28 Madrid;099 Navas del Rey;201;0990201;NAVAS DEL REY;NUC;2819
28 Madrid;030 Cabrera, La;101;0300101;CABRERA (LA);NUC;2870
28 Madrid;031 Cadalso de los Vidrios;101;0310101;CADALSO DE LOS VIDRIOS;NUC;2875
28 Madrid;007 Alcorcón;601;0070601;FUENTE CISNEROS;NUC;2905
28 Madrid;160 Valdemorillo;201;1600201;CERRO ALARCÓN;NUC;2974
28 Madrid;134 San Sebastián de los Reyes;301;1340301;CLUB DE CAMPO;NUC;3012
28 Madrid;109 Pelayos de la Presa;101;1090101;PELAYOS DE LA PRESA;NUC;3106
28 Madrid;165 Valdilecha;101;1650101;VALDILECHA;NUC;3163
28 Madrid;009 Algete;801;0090801;SANTO DOMINGO;NUC;3211
28 Madrid;093 Navacerrada;101;0930101;NAVACERRADA;NUC;3304
28 Madrid;010 Alpedrete;1801;0101801;NEGRALES-LOS LLANOS (LOS);NUC;3355
28 Madrid;047 Collado Villalba;1101;0471101;DOMINIO DE FONTENEBRO;NUC;3466
28 Madrid;170 Villaconejos;101;1700101;VILLACONEJOS;NUC;3471
28 Madrid;023 Boalo, El;201;0230201;CERCEDA;NUC;3536
28 Madrid;164 Valdetorres de Jarama;201;1640201;VALDETORRES DE JARAMA;NUC;3871
28 Madrid;176 Villanueva de la Cañada;704;1760704;VILLAFRANCA DEL CASTILLO-LA MOCHA CHICA;NUC;3898
28 Madrid;119 Quijorna;202;1190202;QUIJORNA;NUC;3927
28 Madrid;050 Cubas de la Sagra;101;0500101;CUBAS;NUC;4042
28 Madrid;145 Talamanca de Jarama;401;1450401;TALAMANCA DE JARAMA;NUC;4186
28 Madrid;036 Casarrubuelos;101;0360101;CASARRUBUELOS;NUC;4211
28 Madrid;052 Chinchón;101;0520101;CHINCHÓN;NUC;4460
28 Madrid;140 Serranillos del Valle;101;1400101;SERRANILLOS DEL VALLE;NUC;4543
28 Madrid;061 Galapagar;2101;0612101;NAVATA (LA);NUC;4670
28 Madrid;152 Torrelodones;1101;1521101;PEÑASCALES (LOS);NUC;4686
28 Madrid;125 Robledo de Chavela;201;1250201;ROBLEDO DE CHAVELA;NUC;4697
28 Madrid;150 Torrejón de Velasco;101;1500101;TORREJÓN DE VELASCO;NUC;4784
28 Madrid;087 Molinos, Los;102;0870102;MOLINOS (LOS);NUC;4812
28 Madrid;151 Torrelaguna;102;1510102;TORRELAGUNA;NUC;4929
28 Madrid;002 Ajalvir;101;0020101;AJALVIR;NUC;4943
28 Madrid;115 Pozuelo de Alarcón;2001;1152001;ARROYO MEAQUES;NUC;5167
28 Madrid;089 Moraleja de Enmedio;201;0890201;MORALEJA DE ENMEDIO;NUC;5175
28 Madrid;108 Pedrezuela;301;1080301;PEDREZUELA;NUC;5277
28 Madrid;043 Colmenar de Oreja;201;0430201;COLMENAR DE OREJA;NUC;5587
28 Madrid;072 Hoyo de Manzanares;301;0720301;HOYO DE MANZANARES;NUC;5748
28 Madrid;152 Torrelodones;401;1520401;ESTACIÓN (LA);NUC;5773
28 Madrid;018 Becerril de la Sierra;101;0180101;BECERRIL DE LA SIERRA;NUC;5832
28 Madrid;054 Escorial, El;601;0540601;NAVALQUEJIGO;NUC;5916
28 Madrid;160 Valdemorillo;1202;1601202;VALDEMORILLO;NUC;5950
28 Madrid;115 Pozuelo de Alarcón;2401;1152401;MONTECLARO-LA CABAÑA;NUC;5999
28 Madrid;171 Villa del Prado;802;1710802;VILLA DEL PRADO;NUC;6184
28 Madrid;033 Campo Real;101;0330101;CAMPO REAL;NUC;6187
28 Madrid;046 Collado Mediano;101;0460101;COLLADO MEDIANO;NUC;6390
28 Madrid;100 Nuevo Baztán;601;1000601;EUROVILLAS-LAS VILLAS;NUC;6464
28 Madrid;059 Fuente el Saz de Jarama;101;0590101;FUENTE EL SAZ DE JARAMA;NUC;6594
28 Madrid;085 Miraflores de la Sierra;201;0850201;MIRAFLORES DE LA SIERRA;NUC;6625
28 Madrid;172 Villalbilla;901;1720901;VISO (EL);NUC;6890
28 Madrid;067 Guadalix de la Sierra;101;0670101;GUADALIX DE LA SIERRA;NUC;6896
28 Madrid;032 Camarma de Esteruelas;101;0320101;CAMARMA DE ESTERUELAS;NUC;7132
28 Madrid;181 Villaviciosa de Odón;201;1810201;BOSQUE (EL);NUC;7142
28 Madrid;038 Cercedilla;201;0380201;CERCEDILLA;NUC;7196
28 Madrid;154 Torres de la Alameda;201;1540201;TORRES DE LA ALAMEDA;NUC;7564
28 Madrid;014 Arganda del Rey;701;0140701;VILLARES (LOS);NUC;7643
28 Madrid;091 Morata de Tajuña;101;0910101;MORATA DE TAJUÑA;NUC;7650
28 Madrid;180 Villarejo de Salvanés;101;1800101;VILLAREJO DE SALVANÉS;NUC;7710
28 Madrid;041 Cobeña;101;0410101;COBEÑA;NUC;7723
28 Madrid;013 Aranjuez;901;0130901;MONTAÑA (LA);NUC;7997
28 Madrid;141 Sevilla la Nueva;601;1410601;SEVILLA LA NUEVA;NUC;8108
28 Madrid;144 Soto del Real;101;1440101;SOTO DEL REAL;NUC;8324
28 Madrid;133 San Martín de Valdeiglesias;401;1330401;SAN MARTÍN DE VALDEIGLESIAS;NUC;8375
28 Madrid;152 Torrelodones;1401;1521401;TORRELODONES;NUC;8565
28 Madrid;075 Loeches;102;0750102;LOECHES;NUC;8621
28 Madrid;065 Getafe;402;0650402;CASAS DEL CURA;NUC;8836
28 Madrid;082 Manzanares el Real;101;0820101;MANZANARES EL REAL;NUC;8934
28 Madrid;054 Escorial, El;401;0540401;ESCORIAL (EL);NUC;9200
28 Madrid;086 Molar, El;101;0860101;MOLAR (EL);NUC;9435
28 Madrid;044 Colmenarejo;101;0440101;COLMENAREJO;NUC;9648
28 Madrid;026 Brunete;101;0260101;BRUNETE;NUC;9783
28 Madrid;149 Torrejón de la Calzada;101;1490101;TORREJÓN DE LA CALZADA;NUC;10248
28 Madrid;004 Álamo, El;101;0040101;ÁLAMO (EL);NUC;10333
28 Madrid;053 Daganzo de Arriba;101;0530101;DAGANZO DE ARRIBA;NUC;10673
28 Madrid;066 Griñón;101;0660101;GRIÑÓN;NUC;10707
28 Madrid;092 Móstoles;201;0920201;PARQUE COIMBRA;NUC;10812
28 Madrid;010 Alpedrete;101;0100101;ALPEDRETE;NUC;11950
28 Madrid;129 San Agustín del Guadalix;101;1290101;SAN AGUSTÍN DEL GUADALIX;NUC;13234
28 Madrid;090 Moralzarzal;101;0900101;MORALZARZAL;NUC;13710
28 Madrid;068 Guadarrama;201;0680201;GUADARRAMA;NUC;13823
28 Madrid;074 Leganés;101;0740101;FORTUNA;NUC;13961
28 Madrid;167 Velilla de San Antonio;101;1670101;VELILLA DE SAN ANTONIO;NUC;14008
28 Madrid;009 Algete;101;0090101;ALGETE;NUC;15655
28 Madrid;015 Arroyomolinos;101;0150101;ARROYOMOLINOS;NUC;15689
28 Madrid;083 Meco;201;0830201;MECO;NUC;15806
28 Madrid;123 Rivas-Vaciamadrid;701;1230701;RIVAS-VACIAMADRID;NUC;16031
28 Madrid;177 Villanueva del Pardillo;101;1770101;VILLANUEVA DEL PARDILLO;NUC;16379
28 Madrid;131 San Lorenzo de El Escorial;201;1310201;SAN LORENZO DE EL ESCORIAL;NUC;16788
28 Madrid;115 Pozuelo de Alarcón;2301;1152301;HÚMERA-SOMOSAGUAS;NUC;16845
28 Madrid;047 Collado Villalba;101;0470101;COLLADO VILLALBA;NUC;18105
28 Madrid;176 Villanueva de la Cañada;401;1760401;VILLANUEVA DE LA CAÑADA;NUC;18138
28 Madrid;022 Boadilla del Monte;1701;0221701;URBANIZACIONES NOROESTE;NUC;19337
28 Madrid;073 Humanes de Madrid;101;0730101;HUMANES DE MADRID;NUC;19915
28 Madrid;132 San Martín de la Vega;701;1320701;SAN MARTÍN DE LA VEGA;NUC;19928
28 Madrid;065 Getafe;701;0650701;BERCIAL (EL);NUC;20046
28 Madrid;015 Arroyomolinos;201;0150201;CASTAÑERAS Y CIUDAD JARDÍN;NUC;21303
28 Madrid;084 Mejorada del Campo;101;0840101;MEJORADA DEL CAMPO;NUC;21438
28 Madrid;181 Villaviciosa de Odón;101;1810101;VILLAVICIOSA DE ODÓN;NUC;21650
28 Madrid;061 Galapagar;801;0610801;GALAPAGAR;NUC;22399
28 Madrid;104 Paracuellos de Jarama;201;1040201;PARACUELLOS DE JARAMA;NUC;23492
28 Madrid;058 Fuenlabrada;501;0580501;LORANCA;NUC;25546
28 Madrid;040 Ciempozuelos;101;0400101;CIEMPOZUELOS;NUC;26037
28 Madrid;096 Navalcarnero;301;0960301;NAVALCARNERO;NUC;31902
28 Madrid;130 San Fernando de Henares;201;1300201;SAN FERNANDO DE HENARES;NUC;38905
28 Madrid;022 Boadilla del Monte;101;0220101;BOADILLA DEL MONTE;NUC;44123
28 Madrid;047 Collado Villalba;501;0470501;ESTACIÓN (LA);NUC;45736
28 Madrid;127 Rozas de Madrid, Las;1501;1271501;MATAS-PINAR-MONTE ROZAS (LAS);NUC;46324
28 Madrid;903 Tres Cantos;103;9030103;TRES CANTOS;NUC;50282
28 Madrid;014 Arganda del Rey;101;0140101;ARGANDA;NUC;51109
28 Madrid;127 Rozas de Madrid, Las;401;1270401;ROZAS DE MADRID (LAS);NUC;51817
28 Madrid;013 Aranjuez;201;0130201;ARANJUEZ;NUC;53662
28 Madrid;045 Colmenar Viejo;101;0450101;COLMENAR VIEJO;NUC;55428
28 Madrid;113 Pinto;102;1130102;PINTO;NUC;55918
28 Madrid;115 Pozuelo de Alarcón;401;1150401;POZUELO DE ALARCÓN;NUC;59169
28 Madrid;080 Majadahonda;2201;0802201;MAJADAHONDA;NUC;73247
28 Madrid;049 Coslada;101;0490101;COSLADA;NUC;80688
28 Madrid;161 Valdemoro;101;1610101;VALDEMORO;NUC;83423
28 Madrid;123 Rivas-Vaciamadrid;1801;1231801;PARTIJA-SANTA MÓNICA (LA);NUC;83779
28 Madrid;134 San Sebastián de los Reyes;501;1340501;SAN SEBASTIÁN DE LOS REYES;NUC;85812
28 Madrid;006 Alcobendas;101;0060101;ALCOBENDAS;NUC;121330
28 Madrid;106 Parla;102;1060102;PARLA;NUC;134851
28 Madrid;148 Torrejón de Ardoz;101;1480101;TORREJÓN DE ARDOZ;NUC;139715
28 Madrid;065 Getafe;301;0650301;GETAFE;NUC;161160
28 Madrid;058 Fuenlabrada;102;0580102;FUENLABRADA;NUC;162782
28 Madrid;007 Alcorcón;101;0070101;ALCORCÓN;NUC;170478
28 Madrid;074 Leganés;201;0740201;LEGANÉS;NUC;179739
28 Madrid;005 Alcalá de Henares;101;0050101;ALCALÁ DE HENARES;NUC;199590
28 Madrid;092 Móstoles;101;0920101;MÓSTOLES;NUC;200051
28 Madrid;079 Madrid;101;0790101;MADRID;NUC;3422416
